Emissor,Tipo,Vencimento,Liquidez,Rentabilidade,Valor Mínimo,Valor Líquido
Banco Maxima,Prefixado,09/01/2031,no vcto.,13% a.a.,"R$ 100,00","R$ 297,58"
Banco Maxima,Prefixado,08/08/2030,no vcto.,12.60% a.a.,"R$ 1.366,53","R$ 3.751,03"
Banco Maxima,Prefixado,15/01/2030,no vcto.,11.50% a.a.,"R$ 1.000,00","R$ 2.375,30"
Banco Maxima,Prefixado,20/01/2029,no vcto.,11% a.a.,"R$ 1.000,00","R$ 2.082,27"
Banco Maxima,Prefixado,25/01/2028,no vcto.,10.60% a.a.,"R$ 1.000,00","R$ 1.851,55"
Banco Maxima,Prefixado,30/01/2027,no vcto.,10.30% a.a.,"R$ 1.000,00","R$ 1.667,00"
Banco Maxima,Prefixado,04/02/2026,no vcto.,10% a.a.,"R$ 1.000,00","R$ 1.509,64"
Banco Maxima,Prefixado,11/02/2025,no vcto.,9.50% a.a.,"R$ 1.000,00","R$ 1.365,87"
Banco Luso Brasileiro,Prefixado,31/01/2027,no vcto.,9.50% a.a.,"R$ 10.000,00","R$ 16.031,36"
Novo Banco Continental,Prefixado,02/02/2027,no vcto.,9.50% a.a.,"R$ 2.000,00","R$ 3.207,32"
Novo Banco Continental,Prefixado,06/02/2026,no vcto.,9.30% a.a.,"R$ 2.000,00","R$ 2.936,92"
Novo Banco Continental,Prefixado,11/02/2025,no vcto.,9% a.a.,"R$ 2.000,00","R$ 2.688,23"
Avista CFI,Prefixado,11/02/2025,no vcto.,9% a.a.,"R$ 1.000,00","R$ 1.344,11"
Banco Luso Brasileiro,Prefixado,08/02/2026,no vcto.,9% a.a.,"R$ 10.000,00","R$ 14.511,39"
Banco Maxima,Prefixado,15/02/2024,no vcto.,8.50% a.a.,"R$ 1.000,00","R$ 1.230,78"
Banco Luso Brasileiro,Prefixado,11/02/2025,no vcto.,8.40% a.a.,"R$ 10.000,00","R$ 13.183,96"
Caruana,Prefixado,03/03/2026,no vcto.,8.35% a.a.,"R$ 1.000,00","R$ 1.418,90"
Novo Banco Continental,Prefixado,20/02/2024,no vcto.,8.30% a.a.,"R$ 2.000,00","R$ 2.451,90"
Caruana,Prefixado,04/03/2025,no vcto.,8.10% a.a.,"R$ 1.000,00","R$ 1.310,70"
Santana CFI,Prefixado,15/02/2024,no vcto.,8% a.a.,"R$ 5.000,00","R$ 6.080,94"
Banco Maxima,Prefixado,21/02/2023,no vcto.,7.80% a.a.,"R$ 1.000,00","R$ 1.135,71"
Caruana,Prefixado,01/03/2024,no vcto.,7.80% a.a.,"R$ 1.000,00","R$ 1.213,87"
Banco Luso Brasileiro,Prefixado,18/02/2024,no vcto.,7.55% a.a.,"R$ 10.000,00","R$ 12.034,64"
Caruana,Prefixado,01/09/2023,no vcto.,7.10% a.a.,"R$ 1.000,00","R$ 1.159,28"
Focus Financeira,Prefixado,21/02/2023,no vcto.,7% a.a.,"R$ 5.000,00","R$ 5.608,00"
Caruana,Prefixado,02/03/2023,no vcto.,6.40% a.a.,"R$ 1.000,00","R$ 1.112,28"
Banco Luso Brasileiro,Prefixado,21/02/2023,no vcto.,6.15% a.a.,"R$ 10.000,00","R$ 11.064,05"
Santana CFI,Prefixado,21/02/2023,no vcto.,6.10% a.a.,"R$ 5.000,00","R$ 5.528,70"
Banco Maxima,Prefixado,26/02/2022,no vcto.,5.50% a.a.,"R$ 1.000,00","R$ 1.045,19"
Agoracred,Prefixado,18/02/2024,no vcto.,5% a.a.,"R$ 1.000,00","R$ 1.131,50"
Agoracred,Prefixado,21/02/2023,no vcto.,4.80% a.a.,"R$ 1.000,00","R$ 1.082,69"
Novo Banco Continental,Prefixado,21/02/2023,no vcto.,4.80% a.a.,"R$ 2.000,00","R$ 2.165,38"
Agoracred,Prefixado,26/02/2022,no vcto.,4.60% a.a.,"R$ 1.000,00","R$ 1.037,95"
Banco Luso Brasileiro,Prefixado,27/02/2022,no vcto.,4.25% a.a.,"R$ 10.000,00","R$ 10.350,62"
Banco Maxima,Prefixado,31/08/2021,no vcto.,4.10% a.a.,"R$ 1.000,00","R$ 1.016,37"
Voiter Banco Indusval,Prefixado,06/07/2021,no vcto.,3.80% a.a.,"R$ 1.046,04","R$ 1.056,55"
Banco Arbi,Prefixado,21/02/2023,no vcto.,3.80% a.a.,"R$ 3.000,00","R$ 3.195,04"
Caruana,Prefixado,02/09/2022,no vcto.,3.60% a.a.,"R$ 5.000,00","R$ 5.224,14"
Banco Maxima,Prefixado,30/06/2021,no vcto.,3.50% a.a.,"R$ 1.000,00","R$ 1.008,84"
Banco Arbi,Prefixado,01/03/2022,no vcto.,3.30% a.a.,"R$ 3.000,00","R$ 3.081,34"
Banco Maxima,Prefixado,01/06/2021,no vcto.,3.10% a.a.,"R$ 1.000,00","R$ 1.005,94"
Caruana,Prefixado,26/02/2022,no vcto.,2.60% a.a.,"R$ 5.000,00","R$ 5.105,53"
Novo Banco Continental,Prefixado,27/02/2022,no vcto.,2.60% a.a.,"R$ 2.000,00","R$ 2.042,90"
Caruana,Prefixado,30/08/2021,no vcto.,1.85% a.a.,"R$ 5.000,00","R$ 5.035,07"
Banco Luso Brasileiro,Prefixado,30/08/2021,no vcto.,1.60% a.a.,"R$ 10.000,00","R$ 10.063,74"